Formatted Date,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary
2016-10-16 23:00:00.000 +0200,Foggy,rain,11.43333333,11.43333333,0.95,7.1967,46,2.1574,0,1024.66,Drizzle until morning.
2016-10-17 00:00:00.000 +0200,Foggy,rain,11.27222222,11.27222222,0.95,6.1663,50,2.3023,0,1025.02,Foggy overnight.
2016-10-17 01:00:00.000 +0200,Foggy,rain,11.15555556,11.15555556,0.95,5.8604,54,2.3023,0,1025.52,Foggy overnight.
2016-10-17 02:00:00.000 +0200,Overcast,rain,11.03333333,11.03333333,0.94,6.1985,65,4.0733,0,1025.91,Foggy overnight.
2016-10-17 03:00:00.000 +0200,Overcast,rain,10.98333333,10.98333333,0.93,6.6654,61,6.2951,0,1026.15,Foggy overnight.
2016-10-17 04:00:00.000 +0200,Overcast,rain,10.85,10.85,0.94,6.4078,70,6.0697,0,1026.28,Foggy overnight.
2016-10-17 05:00:00.000 +0200,Overcast,rain,10.83888889,10.83888889,0.94,6.5688,111,4.9749,0,1026.59,Foggy overnight.
2016-10-17 06:00:00.000 +0200,Overcast,rain,10.76111111,10.76111111,0.9,9.2092,136,9.7083,0,1026.89,Foggy overnight.
2016-10-17 07:00:00.000 +0200,Overcast,rain,10.43888889,10.43888889,0.9,11.7208,158,9.6117,0,1027.32,Foggy overnight.
2016-10-17 08:00:00.000 +0200,Overcast,rain,10.49444444,10.49444444,0.89,13.2664,158,9.5473,0,1027.73,Foggy overnight.
2016-10-17 09:00:00.000 +0200,Overcast,rain,10.60555556,10.60555556,0.88,16.4864,160,9.5956,0,1028.24,Foggy overnight.
2016-10-17 10:00:00.000 +0200,Overcast,rain,11.03888889,11.03888889,0.82,17.2753,167,9.6117,0,1028.72,Foggy overnight.
2016-10-17 11:00:00.000 +0200,Overcast,rain,11.14444444,11.14444444,0.79,18.7243,168,10.0786,0,1029.2,Foggy overnight.
2016-10-17 12:00:00.000 +0200,Mostly Cloudy,rain,11.79444444,11.79444444,0.75,20.2538,167,9.982,0,1029.43,Foggy overnight.
2016-10-17 13:00:00.000 +0200,Mostly Cloudy,rain,12.01111111,12.01111111,0.73,19.964,167,15.8263,0,1029.41,Foggy overnight.
2016-10-17 14:00:00.000 +0200,Mostly Cloudy,rain,12.35,12.35,0.71,20.7529,166,10.3523,0,1029.36,Foggy overnight.
2016-10-17 15:00:00.000 +0200,Mostly Cloudy,rain,12.44444444,12.44444444,0.69,20.3987,164,9.982,0,1029.32,Foggy overnight.
2016-10-17 16:00:00.000 +0200,Mostly Cloudy,null,12.23333333,12.23333333,0.7,20.1089,154,9.982,0,1029.12,Foggy overnight.
2016-10-17 17:00:00.000 +0200,Mostly Cloudy,null,12.08888889,12.08888889,0.7,19.159,157,10.3523,0,1028.96,Foggy overnight.
2016-10-17 18:00:00.000 +0200,Mostly Cloudy,null,11.46666667,11.46666667,0.69,19.1912,152,9.982,0,1029.04,Foggy overnight.
2016-10-17 19:00:00.000 +0200,Mostly Cloudy,null,10.89444444,10.89444444,0.72,20.2538,152,9.982,0,1029.29,Foggy overnight.
2016-10-17 20:00:00.000 +0200,Mostly Cloudy,null,10.48333333,10.48333333,0.69,19.9479,153,9.982,0,1029.37,Foggy overnight.
2016-10-17 21:00:00.000 +0200,Mostly Cloudy,null,9.855555556,7.177777778,0.72,20.2699,157,9.982,0,1029.29,Foggy overnight.
2016-10-17 22:00:00.000 +0200,Mostly Cloudy,null,9.394444444,6.527777778,0.72,20.9944,156,16.1,0,1029.23,Foggy overnight.
2016-10-17 23:00:00.000 +0200,Mostly Cloudy,null,8.872222222,6.066666667,0.74,19.0302,151,15.1823,0,1029.05,Foggy overnight.
2016-10-18 00:00:00.000 +0200,Mostly Cloudy,null,8.461111111,5.727777778,0.76,17.4685,148,16.1,0,1028.79,Mostly cloudy throughout the day.
2016-10-18 01:00:00.000 +0200,Mostly Cloudy,null,8.127777778,5.211111111,0.75,18.354,142,16.1,0,1028.48,Mostly cloudy throughout the day.
2016-10-18 02:00:00.000 +0200,Overcast,null,7.677777778,5.005555556,0.79,15.4399,136,15.1823,0,1028.28,Mostly cloudy throughout the day.
2016-10-18 03:00:00.000 +0200,Overcast,null,7.366666667,4.627777778,0.79,15.3594,131,16.1,0,1027.99,Mostly cloudy throughout the day.
2016-10-18 04:00:00.000 +0200,Overcast,null,7.172222222,4.527777778,0.8,14.3934,131,16.1,0,1027.59,Mostly cloudy throughout the day.
2016-10-18 05:00:00.000 +0200,Overcast,null,7.083333333,4.272222222,0.8,15.4399,126,14.9569,0,1027.18,Mostly cloudy throughout the day.
2016-10-18 06:00:00.000 +0200,Overcast,null,7.227777778,4.522222222,0.78,14.9247,127,15.8263,0,1026.97,Mostly cloudy throughout the day.
2016-10-18 07:00:00.000 +0200,Overcast,null,7.311111111,4.938888889,0.78,12.7995,125,15.8263,0,1026.72,Mostly cloudy throughout the day.
2016-10-18 08:00:00.000 +0200,Overcast,null,7.527777778,5.15,0.8,13.1537,125,9.982,0,1026.56,Mostly cloudy throughout the day.
2016-10-18 09:00:00.000 +0200,Overcast,null,8.177777778,5.827777778,0.76,13.9748,131,9.982,0,1026.61,Mostly cloudy throughout the day.
2016-10-18 10:00:00.000 +0200,Overcast,null,8.888888889,6.461111111,0.73,15.778,135,9.982,0,1026.52,Mostly cloudy throughout the day.
2016-10-18 11:00:00.000 +0200,Overcast,null,9.961111111,7.65,0.69,16.9694,134,10.3523,0,1026.32,Mostly cloudy throughout the day.
2016-10-18 12:00:00.000 +0200,Mostly Cloudy,null,11.21666667,11.21666667,0.63,19.0302,133,9.982,0,1025.93,Mostly cloudy throughout the day.
2016-10-18 13:00:00.000 +0200,Mostly Cloudy,null,12.10555556,12.10555556,0.58,20.2055,134,9.982,0,1025.36,Mostly cloudy throughout the day.
2016-10-18 14:00:00.000 +0200,Mostly Cloudy,null,12.63888889,12.63888889,0.58,19.5937,135,10.3523,0,1024.89,Mostly cloudy throughout the day.
2016-10-18 15:00:00.000 +0200,Mostly Cloudy,null,12.67777778,12.67777778,0.57,18.8692,132,9.982,0,1024.49,Mostly cloudy throughout the day.
2016-10-18 16:00:00.000 +0200,Mostly Cloudy,null,12.32222222,12.32222222,0.58,17.1626,127,9.982,0,1024.08,Mostly cloudy throughout the day.
2016-10-18 17:00:00.000 +0200,Mostly Cloudy,null,12.05,12.05,0.62,12.1877,125,10.3523,0,1023.71,Mostly cloudy throughout the day.
2016-10-18 18:00:00.000 +0200,Mostly Cloudy,null,11.12777778,11.12777778,0.64,9.982,120,9.982,0,1023.62,Mostly cloudy throughout the day.
2016-10-18 19:00:00.000 +0200,Mostly Cloudy,null,10.52777778,10.52777778,0.66,10.6743,117,9.982,0,1023.64,Mostly cloudy throughout the day.
2016-10-18 20:00:00.000 +0200,Mostly Cloudy,null,10.06666667,10.06666667,0.67,10.5616,127,10.3523,0,1023.75,Mostly cloudy throughout the day.
2016-10-18 21:00:00.000 +0200,Mostly Cloudy,null,9.572222222,8.055555556,0.66,10.4811,140,9.982,0,1023.57,Mostly cloudy throughout the day.
2016-10-18 22:00:00.000 +0200,Overcast,null,9.411111111,7.65,0.65,11.7852,139,15.8263,0,1023.73,Mostly cloudy throughout the day.
2016-10-18 23:00:00.000 +0200,Overcast,null,9.077777778,7.605555556,0.67,9.66,143,14.9569,0,1023.64,Mostly cloudy throughout the day.
2016-10-19 00:00:00.000 +0200,Overcast,null,7.855555556,6.2,0.7,9.3863,134,15.8263,0,1023.5,Overcast throughout the day.
2016-10-19 01:00:00.000 +0200,Overcast,null,7.472222222,6.361111111,0.7,6.762,131,15.7297,0,1023.29,Overcast throughout the day.
2016-10-19 02:00:00.000 +0200,Overcast,rain,6.966666667,6.205555556,0.75,5.3452,116,14.8764,0,1023.26,Overcast throughout the day.
2016-10-19 03:00:00.000 +0200,Overcast,rain,6.922222222,6.194444444,0.72,5.2325,121,15.6492,0,1023.06,Overcast throughout the day.
2016-10-19 04:00:00.000 +0200,Overcast,null,6.961111111,6.194444444,0.73,5.3613,128,15.6492,0,1022.88,Overcast throughout the day.
2016-10-19 05:00:00.000 +0200,Overcast,null,6.944444444,6.205555556,0.76,5.2808,128,14.7637,0,1022.71,Overcast throughout the day.
2016-10-19 06:00:00.000 +0200,Overcast,null,7.161111111,6.538888889,0.74,5.0232,139,9.7566,0,1022.54,Overcast throughout the day.
2016-10-19 07:00:00.000 +0200,Overcast,null,7.238888889,7.238888889,0.79,4.7656,137,15.5043,0,1022.6,Overcast throughout the day.
2016-10-19 08:00:00.000 +0200,Overcast,null,7.844444444,6.627777778,0.75,7.4221,144,14.7637,0,1022.56,Overcast throughout the day.
2016-10-19 09:00:00.000 +0200,Overcast,null,8.383333333,6.911111111,0.77,8.9838,149,15.7297,0,1022.77,Overcast throughout the day.
2016-10-19 10:00:00.000 +0200,Overcast,null,8.894444444,7.55,0.76,8.8067,175,15.8263,0,1022.74,Overcast throughout the day.
2016-10-19 11:00:00.000 +0200,Overcast,null,9.405555556,7.916666667,0.75,10.0786,171,10.3523,0,1022.87,Overcast throughout the day.
2016-10-19 12:00:00.000 +0200,Overcast,null,10.4,10.4,0.74,11.2539,161,9.982,0,1022.81,Overcast throughout the day.
2016-10-19 13:00:00.000 +0200,Overcast,null,11.35555556,11.35555556,0.71,12.075,163,9.982,0,1022.39,Overcast throughout the day.
2016-10-19 14:00:00.000 +0200,Overcast,null,11.68333333,11.68333333,0.7,12.9927,151,9.6278,0,1022.09,Overcast throughout the day.
2016-10-19 15:00:00.000 +0200,Overcast,null,11.86111111,11.86111111,0.7,12.6385,152,9.982,0,1021.73,Overcast throughout the day.
2016-10-19 16:00:00.000 +0200,Mostly Cloudy,null,11.83333333,11.83333333,0.67,12.1877,150,9.982,0,1021.47,Overcast throughout the day.
2016-10-19 17:00:00.000 +0200,Overcast,null,11.58333333,11.58333333,0.71,9.9337,143,10.3523,0,1021.26,Overcast throughout the day.
2016-10-19 18:00:00.000 +0200,Mostly Cloudy,null,11.13333333,11.13333333,0.72,11.8174,146,9.982,0,1021.23,Overcast throughout the day.
2016-10-19 19:00:00.000 +0200,Mostly Cloudy,null,10.19444444,10.19444444,0.74,10.7226,145,15.8263,0,1021.24,Overcast throughout the day.
2016-10-19 20:00:00.000 +0200,Mostly Cloudy,null,9.838888889,8.438888889,0.76,10.0786,141,14.9569,0,1021.16,Overcast throughout the day.
2016-10-19 21:00:00.000 +0200,Overcast,null,9.05,7.233333333,0.79,11.6403,145,15.8263,0,1021.07,Overcast throughout the day.
2016-10-19 22:00:00.000 +0200,Overcast,null,9.066666667,7.211111111,0.76,11.914,152,15.8263,0,1021.1,Overcast throughout the day.
2016-10-19 23:00:00.000 +0200,Overcast,null,8.505555556,6.388888889,0.77,12.8478,145,14.9569,0,1020.89,Overcast throughout the day.
2016-10-02 00:00:00.000 +0200,Partly Cloudy,rain,13.85,13.85,0.78,6.118,160,16.1,0,1015.3,Mostly cloudy starting in the morning.
2016-10-02 01:00:00.000 +0200,Clear,rain,13.22222222,13.22222222,0.81,6.279,151,16.1,0,1015.29,Mostly cloudy starting in the morning.
2016-10-02 02:00:00.000 +0200,Clear,rain,12.34444444,12.34444444,0.86,5.2486,166,15.1823,0,1015.55,Mostly cloudy starting in the morning.
2016-10-02 03:00:00.000 +0200,Clear,rain,11.65,11.65,0.86,6.2951,180,15.1823,0,1015.76,Mostly cloudy starting in the morning.
2016-10-02 04:00:00.000 +0200,Clear,rain,12.06666667,12.06666667,0.84,10.8997,140,15.134,0,1015.38,Mostly cloudy starting in the morning.
2016-10-02 05:00:00.000 +0200,Clear,rain,11.06666667,11.06666667,0.87,9.66,132,9.982,0,1015.07,Mostly cloudy starting in the morning.
2016-10-02 06:00:00.000 +0200,Partly Cloudy,rain,9.977777778,8.777777778,0.93,9.1126,140,6.2951,0,1015.16,Mostly cloudy starting in the morning.
2016-10-02 07:00:00.000 +0200,Partly Cloudy,rain,10.99444444,10.99444444,0.86,10.7709,140,4.2021,0,1015.3,Mostly cloudy starting in the morning.
2016-10-02 08:00:00.000 +0200,Partly Cloudy,rain,12.62222222,12.62222222,0.85,7.7119,158,5.313,0,1015.76,Mostly cloudy starting in the morning.
2016-10-02 09:00:00.000 +0200,Partly Cloudy,rain,16.13888889,16.13888889,0.72,7.9534,188,6.3917,0,1015.78,Mostly cloudy starting in the morning.
2016-10-02 10:00:00.000 +0200,Mostly Cloudy,rain,17.92222222,17.92222222,0.69,9.6117,152,7.4865,0,1015.68,Mostly cloudy starting in the morning.
2016-10-02 11:00:00.000 +0200,Mostly Cloudy,rain,21.98888889,21.98888889,0.53,7.728,147,9.6761,0,1015.63,Mostly cloudy starting in the morning.
2016-10-02 12:00:00.000 +0200,Mostly Cloudy,rain,23.72777778,23.72777778,0.46,8.9033,134,15.1823,0,1015.31,Mostly cloudy starting in the morning.
2016-10-02 13:00:00.000 +0200,Mostly Cloudy,rain,24.88333333,24.88333333,0.42,10.8031,182,16.1,0,1014.72,Mostly cloudy starting in the morning.
2016-10-02 14:00:00.000 +0200,Mostly Cloudy,rain,24.86111111,24.86111111,0.39,9.5634,159,15.5526,0,1014.16,Mostly cloudy starting in the morning.
2016-10-02 15:00:00.000 +0200,Mostly Cloudy,rain,24.82222222,24.82222222,0.37,12.4775,151,16.1,0,1013.74,Mostly cloudy starting in the morning.
2016-10-02 16:00:00.000 +0200,Mostly Cloudy,rain,24.75,24.75,0.4,3.1556,199,15.8263,0,1013.07,Mostly cloudy starting in the morning.
2016-10-02 17:00:00.000 +0200,Mostly Cloudy,rain,24.48333333,24.48333333,0.43,1.3524,338,15.3111,0,1012.84,Mostly cloudy starting in the morning.
2016-10-02 18:00:00.000 +0200,Mostly Cloudy,rain,21.81111111,21.81111111,0.55,12.236,337,15.8263,0,1012.92,Mostly cloudy starting in the morning.
2016-10-02 19:00:00.000 +0200,Mostly Cloudy,rain,19.63333333,19.63333333,0.64,21.2198,329,15.8263,0,1013.51,Mostly cloudy starting in the morning.
2016-10-02 20:00:00.000 +0200,Overcast,rain,17.25,17.25,0.81,15.4238,312,9.9015,0,1014.49,Mostly cloudy starting in the morning.
2016-10-02 21:00:00.000 +0200,Overcast,rain,16.06666667,16.06666667,0.88,14.2002,320,9.9015,0,1015.13,Mostly cloudy starting in the morning.
2016-10-02 22:00:00.000 +0200,Overcast,rain,15.51111111,15.51111111,0.93,11.1251,320,11.8496,0,1015.22,Mostly cloudy starting in the morning.
2016-10-02 23:00:00.000 +0200,Overcast,rain,15.5,15.5,0.93,6.2146,358,9.8371,0,1015.13,Mostly cloudy starting in the morning.
2016-10-20 00:00:00.000 +0200,Overcast,null,7.994444444,5.505555556,0.75,14.651,152,15.8263,0,1020.55,Mostly cloudy throughout the day.
2016-10-20 01:00:00.000 +0200,Mostly Cloudy,null,7.105555556,4.35,0.78,15.0535,148,15.8263,0,1020.21,Mostly cloudy throughout the day.
2016-10-20 02:00:00.000 +0200,Mostly Cloudy,null,6.333333333,3.5,0.79,14.4256,145,14.9569,0,1019.86,Mostly cloudy throughout the day.
2016-10-20 03:00:00.000 +0200,Mostly Cloudy,null,5.855555556,2.794444444,0.8,15.1662,138,16.1,0,1019.5,Mostly cloudy throughout the day.
2016-10-20 04:00:00.000 +0200,Mostly Cloudy,null,5.35,2.7,0.81,11.9945,133,15.8263,0,1019.19,Mostly cloudy throughout the day.
2016-10-20 05:00:00.000 +0200,Mostly Cloudy,null,5.344444444,2.611111111,0.83,12.4453,122,14.9569,0,1018.7,Mostly cloudy throughout the day.
2016-10-20 06:00:00.000 +0200,Mostly Cloudy,null,5.238888889,2.894444444,0.86,10.304,116,15.8263,0,1018.38,Mostly cloudy throughout the day.
2016-10-20 07:00:00.000 +0200,Mostly Cloudy,null,5.288888889,2.361111111,0.85,13.4918,114,15.8263,0,1018.09,Mostly cloudy throughout the day.
2016-10-20 08:00:00.000 +0200,Mostly Cloudy,null,5.933333333,3.138888889,0.82,13.5562,114,14.9569,0,1018,Mostly cloudy throughout the day.
2016-10-20 09:00:00.000 +0200,Partly Cloudy,null,7.388888889,4.7,0.78,15.0857,124,15.8263,0,1017.93,Mostly cloudy throughout the day.
2016-10-20 10:00:00.000 +0200,Partly Cloudy,null,9.377777778,6.494444444,0.69,21.1715,136,15.8263,0,1017.65,Mostly cloudy throughout the day.
2016-10-20 11:00:00.000 +0200,Partly Cloudy,null,11.25555556,11.25555556,0.65,24.3593,142,15.3111,0,1017.14,Mostly cloudy throughout the day.
2016-10-20 12:00:00.000 +0200,Partly Cloudy,null,13.15,13.15,0.63,25.5024,144,15.8263,0,1016.45,Mostly cloudy throughout the day.
2016-10-20 13:00:00.000 +0200,Partly Cloudy,null,14.64444444,14.64444444,0.6,24.5042,147,15.8263,0,1015.66,Mostly cloudy throughout the day.
2016-10-20 14:00:00.000 +0200,Mostly Cloudy,null,15.65,15.65,0.59,22.7332,146,15.3111,0,1015.06,Mostly cloudy throughout the day.
2016-10-20 15:00:00.000 +0200,Mostly Cloudy,null,15.73888889,15.73888889,0.59,23.4416,148,9.982,0,1014.59,Mostly cloudy throughout the day.
2016-10-20 16:00:00.000 +0200,Mostly Cloudy,null,15.17777778,15.17777778,0.61,21.7833,154,15.8263,0,1014.52,Mostly cloudy throughout the day.
2016-10-20 17:00:00.000 +0200,Mostly Cloudy,null,14.26666667,14.26666667,0.65,17.4524,148,15.3111,0,1014.53,Mostly cloudy throughout the day.
2016-10-20 18:00:00.000 +0200,Mostly Cloudy,null,13.22222222,13.22222222,0.7,16.5669,147,9.982,0,1014.72,Mostly cloudy throughout the day.
2016-10-20 19:00:00.000 +0200,Mostly Cloudy,null,12.36666667,12.36666667,0.72,15.939,148,9.982,0,1014.96,Mostly cloudy throughout the day.
2016-10-20 20:00:00.000 +0200,Mostly Cloudy,rain,11.43333333,11.43333333,0.77,15.1501,150,9.3702,0,1015.23,Mostly cloudy throughout the day.
2016-10-20 21:00:00.000 +0200,Mostly Cloudy,rain,10.58888889,10.58888889,0.81,14.2485,155,9.8049,0,1015.43,Mostly cloudy throughout the day.
2016-10-20 22:00:00.000 +0200,Overcast,rain,10.32777778,10.32777778,0.81,18.0642,155,15.6492,0,1015.66,Mostly cloudy throughout the day.
2016-10-20 23:00:00.000 +0200,Drizzle,rain,10.02222222,10.02222222,0.82,19.2556,153,14.7959,0,1015.83,Mostly cloudy throughout the day.
2016-10-21 00:00:00.000 +0200,Drizzle,rain,9.494444444,7.216666667,0.84,15.7458,152,15.6492,0,1015.75,Rain throughout the day.
2016-10-21 01:00:00.000 +0200,Drizzle,rain,9.122222222,7,0.84,13.8782,160,15.6009,0,1015.79,Rain throughout the day.
2016-10-21 02:00:00.000 +0200,Light Rain,rain,8.727777778,6.916666667,0.87,11.1734,160,14.7154,0,1015.7,Rain throughout the day.
2016-10-21 03:00:00.000 +0200,Drizzle,rain,8.338888889,6.588888889,0.89,10.4006,157,15.5526,0,1015.52,Rain throughout the day.
2016-10-21 04:00:00.000 +0200,Drizzle,rain,8.05,6.061111111,0.92,11.4149,142,11.7047,0,1015.03,Rain throughout the day.
2016-10-21 05:00:00.000 +0200,Drizzle,rain,8.038888889,6.2,0.93,10.5616,140,9.7566,0,1014.86,Rain throughout the day.
2016-10-21 06:00:00.000 +0200,Drizzle,rain,8.333333333,6.133333333,0.91,13.1537,138,9.7083,0,1014.46,Rain throughout the day.
2016-10-21 07:00:00.000 +0200,Drizzle,rain,8.555555556,6.4,0.91,13.1859,137,9.6761,0,1014.38,Rain throughout the day.
2016-10-21 08:00:00.000 +0200,Light Rain,rain,8.872222222,7.027777778,0.9,11.6081,139,6.5849,0,1014.38,Rain throughout the day.
2016-10-21 09:00:00.000 +0200,Light Rain,rain,9.666666667,7.438888889,0.86,15.6653,148,7.8729,0,1014.46,Rain throughout the day.
